Question	Gold	Top3_Distractors	Q_Coarse	Q_Fine	Gold_spaCy	Candidate_Type
The major usage of musical machine on 808s was described as eponymous?	Roland TR-808 drum machine	[]	None	None	None	set()	
What journalist gave "808s and Hearbreak" critical acclimation 4 years after its release?	Matthew Trammell	['Robert Christgau', 'Kanye Omari West', 'North "Nori" West']	None	None	PERSON	{'PERSON'}	
What was the name of the journalist that wrote about Kanye's album in 2012?	Matthew Trammell	['Kanye Omari West', 'Robert Christgau', 'North "Nori" West']	None	None	PERSON	{'PERSON'}	
Where did Kanye's famous mic-grab incident occur at?	2009 MTV Video Music Awards	[]	None	None	None	set()	
From who did Kanye grab the mic from to make his statement?	Taylor Swift	["Foxy Brown's", 'Ed McPherson', "Donda West's"]	None	None	PERSON	{'PERSON'}	
Kanye's tour with what artist was cancelled following his outburst at the VMA's?	Lady Gaga	['LL Cool J', 'Shayla G.', 'Jan Adams']	None	None	PERSON	{'PERSON'}	
In what year did Kanye's biggest controversy so far take place?	2009	['2004', '2008', '2006']	None	None	DATE	{'DATE'}	
What artist did Kanye West interrupt Taylor Swift to defend?	Beyoncé	['Pusha T', 'Rihanna', 'Raekwon']	None	None	ORG	{'ORG'}	
Which artist was Kanye supposed to tour with, but couldn't due to the Taylor Swift controversy?	Lady Gaga	['LL Cool J', 'Jan Adams', 'Shayla G.']	None	None	PERSON	{'PERSON'}	
What awards ceremony did Kanye not receive any nominations for after the MTV controversy?	52nd Grammy Awards	[]	None	None	None	set()	
Where did Kanye base himself to create his next album?	Hawaii	['A.P.C.', 'Hilton', 'London']	None	None	GPE	{'GPE'}	
What industry did Kanye turn to after taking a break from recording music?	fashion	[]	None	None	None	set()	
What state did Kanye West hide in while writing his next album?	Hawaii	['A.P.C.', 'Hilton', 'London']	None	None	GPE	{'GPE'}	
What is the name of Kanye's album released in 2010?	My Beautiful Dark Twisted Fantasy	['the American Music Awards of 2004', 'Dark Fantasy', 'The Atlanta Journal-Constitution']	None	None	ORG	{'ORG'}	
What award was My Beautiful Dark Twisted Fantasy omitted from?	Album of the Year	['early in the year', 'December 17, 2010', 'December 21, 2013']	None	None	DATE	{'DATE'}	
What was the name of Kanye's fifth album?	My Beautiful Dark Twisted Fantasy	['the American Music Awards of 2004', 'Dark Fantasy', 'The Atlanta Journal-Constitution']	None	None	ORG	{'ORG'}	
When was Kanye West's fifth album debuted? 	November 2010	['November 2013', 'November 2015', 'November 2008']	None	None	DATE	{'DATE'}	
What song off of Kanye's fifth album was a hit internationally?	"All of the Lights"	['the next few months', 'the age of nineteen', 'August of that year']	None	None	DATE	{'DATE'}	
What was the name of the free music promotion on Kanye's website in 2010?	GOOD Fridays	[]	None	None	None	set()	
What festival did Kanye headline in 2011?	Coachella	['June 2013', 'July 2013', 'March 2014']	None	None	DATE	{'DATE'}	
With what other hiphop artist did Kanye collaborate with?	Jay-Z	['Jay Z', 'Kanye', 'Jesus']	None	None	PERSON	{'PERSON'}	
Where did Kanye premier a film directed by himself in 2012?	Cannes Film Festival	['the 2015 BRIT Awards', 'Annual Grammy Awards', 'Yeezy Season 3 clothing']	None	None	EVENT	{'EVENT'}	
What event did Kanye headline in 2011?	Coachella	['June 2013', 'July 2013', 'March 2014']	None	None	DATE	{'DATE'}	
What was the name of the joint album Kanye made with Jay Z?	Watch the Throne	[]	None	None	None	set()	
What was the top single off the album "Watch the Throne"?	"Niggas in Paris"	['Album of the Year', 'the previous year', 'early in the year']	None	None	DATE	{'DATE'}	
In what year was "Cruel Summer" released?	2012	['annual', '2010', '2016']	None	None	DATE	{'DATE'}	
What film festival did Kanye West premier a film called "Cruel Summer"?	2012 Cannes Film Festival	[]	None	None	None	set()	
Where did Kanye begin production on his sixth album?	Paris	['China', 'Italy', 'North']	None	None	GPE	{'GPE'}	
What became the name of his sixth studio album?	Yeezus	['Famous', 'Wolves', 'Sermon']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Who did Kanye tour alongside of in order to promote the efforts of Yeezus?	Kendrick Lamar	['Roc La Familia', 'Paul McCartney', 'Joe Weinberger']	None	None	PERSON	{'PERSON'}	
In what year did Kanye West begin working on his sixth album?	2013	['week', '2010', '2012']	None	None	DATE	{'DATE'}	
What was the inspiration behind Kanye West's decision to call Rick Rubin?	architecture	[]	None	None	None	set()	
What was the name of Kanye's sixth album?	Yeezus	['Famous', 'Sermon', 'Clique']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
On what date was Yeezus released?	June 18, 2013	['June 15, 2013', 'July 19, 2013', 'the noughties']	None	None	DATE	{'DATE'}	
What artist did Kanye go on tour with while promoting album number six?	Kendrick Lamar	['Roc La Familia', 'Paul McCartney', 'Joe Weinberger']	None	None	PERSON	{'PERSON'}	
What was the name of Kanye's first child with Kim Kardashian?	North	['West "absorb[ed', 'China', 'Paris']	None	None	GPE	{'GPE'}	
What brand set to collaborate on an apparel line with Kanye?	Adidas	['Harper', 'Niggas', 'Twista']	None	None	ORG	{'ORG'}	
What famous British artist worked with Kanye on multiple singles?	Paul McCartney	['Roc La Familia', 'Andre Aboolian', 'George Michael']	None	None	PERSON	{'PERSON'}	
Where did Kanye perform his single "All Day" with a menagerie of other artists?	2015 BRIT Awards	['December 5, 2015', 'February 8, 2015', '14 February 2016']	None	None	DATE	{'DATE'}	
Who is the mother of Kanye's first child?	Kim Kardashian	['Roc La Familia', 'Paul McCartney', 'Joe Weinberger']	None	None	PERSON	{'PERSON'}	
What is Kanye West's first child's name?	North	['West "absorb[ed', 'China', 'Paris']	None	None	GPE	{'GPE'}	
In what Italian city were Kim Kardashian and Kanye West wed?	Florence	['Oak Lawn', 'Illinois', 'Brisbane']	None	None	GPE	{'GPE'}	
What musician joined Kanye West on the song "Only One"?	Paul McCartney	['Roc La Familia', 'Andre Aboolian', 'George Michael']	None	None	PERSON	{'PERSON'}	
What was the name of the Adidas clothing line by Kanye West that he released in 2013?	Yeezy Season 1	['Yeezy Season 3', 'the Air Yeezys', 'the Go-Getters']	None	None	ORG	{'ORG'}	
What did Kanye change the title of his next planned album from So Help Me God to?	SWISH	[]	None	None	None	set()	
From which institution did Kanye receive an honorary doctorate?	Art Institute of Chicago	[]	None	None	None	set()	
How many people signed a petition to keep Kanye from performing at Glastonbury Festival?	135,000	[]	None	None	None	set()	
What was the original name of Kanye's album "SWISH"?	So Help Me God	['Hot Shot Debut', 'No More Parties', 'Touch the Sky']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What school awarded Kanye west an honorary doctorate?	School of the Art Institute of Chicago	[]	None	None	None	set()	
How many people petitioned his show at the Glastonbury Music Festival in the UK?	135,000	[]	None	None	None	set()	
What was the tentative release date announced for Kanye's next studio album?	February 11	['summer 2009', 'next spring', 'spring 2006']	None	None	DATE	{'DATE'}	
What was Kanye's next album renamed again to?	Waves	['the same week', 'the 21st century', 'the past decade']	None	None	DATE	{'DATE'}	
With what other rapper did Kanye west have a Twitter feud with in early 2016?	Wiz Khalifa	['berimbau', 'sex/', 'Chance the Rapper']	None	None	PERSON	{'PERSON'}	
What became the final title of Kanye's next album?	The Life of Pablo	['The Good, the Bad', 'All of the Lights', 'Through The Wire']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What platform was The Life of Pablo officially released on?	Tidal	['Earth', 'West', 'D-Dot']	None	None	LOC	{'LOC'}	
What song  by West was debuted in December 2015?	"Facts"	[]	None	None	None	set()	
On January 26, 2016, Kanye told the world he changed the name of his next album from SWISH to what?	Waves	['the same week', 'annual', 'the 21st century']	None	None	DATE	{'DATE'}	
What artist did Kanye West have a feud with over Amber Rose?	Wiz Khalifa	['berimbau', 'sex/', 'Chance the Rapper']	None	None	PERSON	{'PERSON'}	
What was the name of Kanye's clothing line premiered at Madison Square Garden?	Yeezy Season 3	['Yeezy Season 1', 'Dark', 'the Air Yeezys']	None	None	ORG	{'ORG'}	
What English musician did Kanye cite as one of his biggest inspirations?	David Bowie	['Jay-Z’s', 'Don Crowley', 'John Legend']	None	None	PERSON	{'PERSON'}	
Kanye has stated that members from which rap group influenced his early style?	Wu-Tang Clan	["Foxy Brown's", 'Robert "Evel', 'Ed McPherson']	None	None	PERSON	{'PERSON'}	
What name did Kanye's early production style coin.	chipmunk soul	[]	None	None	None	set()	
What artist was named by Kanye West to be his "most important inspiration"?	David Bowie	['Jay-Z’s', 'Don Crowley', 'John Legend']	None	None	PERSON	{'PERSON'}	
Who was Kanye's greatest cultural figure?	Puff Daddy	['Damon Dash', 'Soulja Boy', 'Jay-Z’s']	None	None	PERSON	{'PERSON'}	
What was the name of the song that first featured Kanye's "chipmunk soul" style?	"This Can't Be Life"	['the age of nineteen', 'the twenty-first century', 'the year 2000']	None	None	DATE	{'DATE'}	
What composer did Kanye collaborate with for his second record?	Jon Brion	['berimbau', 'sex/', 'LL Cool J']	None	None	PERSON	{'PERSON'}	
What classical elements did Brion bring to the production of Kanye's album?	orchestral elements, including string arrangements, piano chords, brass flecks, and horn riffs among other symphonic instrumentation	['the American Music Awards of 2004', 'The Go-Getters', 'Late Registration, DJ Toomp for Graduation']	None	None	ORG	{'ORG'}	
What sort of orchestra did Kanye tour with while promoting his second album?	a string section	[]	None	None	None	set()	
What composer did Kanye West work with for his second album?	Jon Brion	['berimbau', 'sex/', 'LL Cool J']	None	None	PERSON	{'PERSON'}	
What English trip-hop group helped influence Kanye on his second album?	Portishead	['Style.com', 'Niggas', 'telethon']	None	None	ORG	{'ORG'}	
What was the name of Kanye's third record?	Graduation	[]	None	None	None	set()	
What musical direction did Kanye take with his third album?	more atmospheric, rock-tinged, electronic-influenced soundscape	[]	None	None	None	set()	
Kanye drew inspiration from The Rolling Stones, U2, and Led Zeppelin in what ways?	melody and chord progression	[]	None	None	None	set()	
What year was Kanye West's third album released?	2007	['Today', 'Friday', '2004']	None	None	DATE	{'DATE'}	
What kind of sound did Kanye abandon a rap and hiphop one for with his fourth album?	electropop	[]	None	None	None	set()	
Who did Kanye become inspired by while creating 808s & Heartbreak?	Gary Numan, TJ Swan and Boy George	[]	None	None	None	set()	
What types of instruments are present on his fourth album?	dense drums, lengthy strings, droning synthesizers, and somber piano	['Season 2 later that year', 'an original date of April 14, 2009', 'the following four years']	None	None	DATE	{'DATE'}	
What other artist besides Gary Numan and TJ Swan helped inspire Kanye's fourth album?	Boy George	['Saint West', 'new singles', 'the United States']	None	None	GPE	{'GPE'}	
What other type of 1980s group was Kanye's fourth album compared to other than new wave?	post-punk	[]	None	None	None	set()	
The article about Kanye's fourth album written by Matthew Trammell was published in what magazine?	Rolling Stone	['Black Panther', 'Hustle Period', 'Krept & Konan']	None	None	ORG	{'ORG'}	
What is Kanye's fifth album titled? 	My Beautiful Dark Twisted Fantasy	['the American Music Awards of 2004', 'The Atlanta Journal-Constitution', 'the International Herald Tribune']	None	None	ORG	{'ORG'}	
What journalist drew comparisons between My Beautiful Dark Twisted Fantasy and other Kanye albums?	Simon Vozick-Levinson	['Don "Don C." Crowley', 'Chance the Rapper', 'Arnold Schwarzenegger']	None	None	PERSON	{'PERSON'}	
What musician collaborated with Kanye West for his album Late Registration?	Jon Brion	['LL Cool J', 'Jan Adams', 'Shayla G.']	None	None	PERSON	{'PERSON'}	
What artist worked with Kanye on his album Graduation?	DJ Toomp	[]	None	None	None	set()	
Kid Cudi joined Kanye for which album?	808s & Heartbreak	['the Yeezy Boosts', 'Island Def Jam', 'Ma$e']	None	None	PRODUCT	{'PRODUCT'}	
Which album by Kanye West has been talked about by writers for having maximalist aesthetic?	My Beautiful Dark Twisted Fantasy	['the American Music Awards of 2004', 'The Atlanta Journal-Constitution', 'the International Herald Tribune']	None	None	ORG	{'ORG'}	
What did Kanye state that Yeezus was?	a protest to music	['Chinese', 'Christian', 'Hungarian']	None	None	NORP	{'NORP'}	
What artist did Kanye draw inspiration from when crafting Yeezus?	Le Corbusier	['Yeezy Season', 'Joy Division', 'Dark Fantasy']	None	None	ORG	{'ORG'}	
In what year was Kanye West's sixth album released?	2013	['2010', '2012', '2016']	None	None	DATE	{'DATE'}	
What was the title of Kanye's sixth album?	Yeezus	['Sermon', 'Grammy', 'Runaway']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What did Kanye announce he would release after acquiring a Grammy in 2005?	clothing line	[]	None	None	None	set()	
What finally become of Kanye's clothing line in 2009?	cancelled	[]	None	None	None	set()	
When did Kanye West annouce his Pastelle Clothing line?	September 2005	['September 2008', 'September 2015', 'September 2007']	None	None	DATE	{'DATE'}	
What year was Kanye's Pastelle Clothing Line scrapped?	2009	['2004', '2008', '2006']	None	None	DATE	{'DATE'}	
What company worked with Kanye in 2009 to create his own shoe line?	Nike	['Dark', 'Time', 'RIAA']	None	None	ORG	{'ORG'}	
For what brand did Kanye design a shoe meant for Paris Fashion Week?	Louis Vuitton	['the Yeezy Boosts', 'Island Def Jam', 'Ma$e']	None	None	PRODUCT	{'PRODUCT'}	
Form whom was Kanye's 2011 fashion label designed for?	women	[]	None	None	None	set()	
What kind of reviews did Kanye's fashion line spark?	mixed-to-negative reviews	['West', 'D-Dot', 'Aspiro']	None	None	LOC	{'LOC'}	
When did Kanye debut his second effort in the fashion world?	March 6, 2012	['the fall season', 'the same week', 'the year 2000']	None	None	DATE	{'DATE'}	
On what day was Kanye's women's clothing line debuted?	October 1, 2011	['January 5, 2012', 'August 19, 2014', 'August 30, 2015']	None	None	DATE	{'DATE'}	
What was the name of Kanye West's women's clothing line?	DW Kanye West	['Stevie Wonder', 'Janet Jackson', 'Chance the Rapper']	None	None	PERSON	{'PERSON'}	
On what day was Kanye's women's line premiered at Paris fashion week? 	October 1, 2011	['January 5, 2012', 'August 19, 2014', 'August 30, 2015']	None	None	DATE	{'DATE'}	
What was the name of West's fashion line for women?	DW Kanye West	['Stevie Wonder', 'Janet Jackson', 'Chance the Rapper']	None	None	PERSON	{'PERSON'}	
The fashion line shown in Paris received what sort of reviews?	mixed-to-negative	['D-Dot', 'Aspiro', 'West']	None	None	LOC	{'LOC'}	
On what day did West release his second fashion line?	March 6, 2012	['the same week', 'the fall season', 'the year 2000']	None	None	DATE	{'DATE'}	
What brand struck a deal with Kanye and sparked a new clothing line?	Adidas	['Harper', 'Pusha T', 'Niggas']	None	None	ORG	{'ORG'}	
How many "seasons" of clothing did Kanye release?	3	['1', '8', 'U2']	None	None	CARDINAL	{'CARDINAL'}	
What were the shoes designed by Kanye and released by Adidas called?	Adidas Yeezy Boosts	[]	None	None	None	set()	
How many pairs of shoes were sold in the initial release in New York City?	9000	['five', 'four', '200']	None	None	CARDINAL	{'CARDINAL'}	
What shoe was announced on Twitter by Kanye West?	Adidas Yeezy Boosts	[]	None	None	None	set()	
In what year did Kanye premier his Season line?	2015	['week', 'year', '2010']	None	None	DATE	{'DATE'}	
What album release coincided with Kanye's Yeezy Season 3 clothing line?	The Life of Pablo	['The College Dropout', 'The Blueprint', 'Touch the Sky']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What restaurant chain did Kanye aspire to open in his native Chicago?	Fatburger	['Pitchfork', 'About.com', 'Style.com']	None	None	ORG	{'ORG'}	
How many restaurants did Kanye open?	2	[]	None	None	None	set()	
What happened to the Fatburger chains that Kanye established?	shut down	[]	None	None	None	set()	
What was the name of the restaurant Kanye annouced he was opening?	Fatburger	['Pitchfork', 'About.com', 'Style.com']	None	None	ORG	{'ORG'}	
How many  of Kanye's Fatburger restaurants were actually opened?	2	[]	None	None	None	set()	
When was Kanye's last Fatburger restaurant closed?	2011	['2010', '2012', '2016']	None	None	DATE	{'DATE'}	
What is the name of Kanye West's food company?	KW Foods LLC	['Yeezy Season', 'Dark Fantasy', 'Joy Division']	None	None	ORG	{'ORG'}	
What did Kanye call the label he founded in 2004?	GOOD Music	['Dark', 'Foundation', 'My Beautiful Dark Twisted Fantasy']	None	None	ORG	{'ORG'}	
As of 2015, who did Kanye choose as the new president of GOOD Music?	Pusha T	['Dark', 'Complex', 'My Beautiful Dark Twisted Fantasy']	None	None	ORG	{'ORG'}	
What year did Kanye West open his GOOD Music production company and record label?	2004	['week', 'year', '2006']	None	None	DATE	{'DATE'}	
What other artist besides Kanye West and Common was among the first to record at GOOD Music?	John Legend	['Happy Lewis', 'Don Crowley', 'Carl Thomas']	None	None	PERSON	{'PERSON'}	
Who did Kanye name President of GOOD Music in 2015?	Pusha T	['Dark', 'Complex', 'My Beautiful Dark Twisted Fantasy']	None	None	ORG	{'ORG'}	
What was the goal of Kanye's new creative company DONDA?	to make products and experiences that people want and can afford	['the American Music Awards of 2004', 'Late Registration, DJ Toomp for Graduation', 'The Go-Getters']	None	None	ORG	{'ORG'}	
Kanye's creative content company DONDA was named after who?	mother Donda West	[]	None	None	None	set()	
On what date did Kanye go public with his DONDA company?	January 5, 2012	['October 1, 2011', 'August 19, 2014', 'August 30, 2015']	None	None	DATE	{'DATE'}	
What platform was Kanye named  a co-owner of in 2015?	Tidal	['D-Dot', 'Earth', 'West']	None	None	LOC	{'LOC'}	
What longtime friend of Kanye acquired Tidal in 2015?	Jay-Z	['Jay Z', 'Jesus', 'Kanye']	None	None	PERSON	{'PERSON'}	
What criticisms of other streaming platforms does Tidal stand to challenge?	low payout of royalties	[]	None	None	None	set()	
What music streaming service is Kanye West a co-owner of?	Tidal	['D-Dot', 'Earth', 'West']	None	None	LOC	{'LOC'}	
What is Tidal's specialization?	lossless audio and high definition music videos	['early in the year', 'the first quarter of 2015', 'the following year']	None	None	DATE	{'DATE'}	
Which famous rapper bought Aspiro?	Jay Z	['Jay-Z', 'Kanye', 'Jay-Z’s']	None	None	PERSON	{'PERSON'}	
What music service is a huge competitor for Tidal?	Spotify	['Pusha T', 'Shakira', 'Khalifa']	None	None	ORG	{'ORG'}	
With the help of his mom, what foundation did Kanye create early in his career?	Kanye West Foundation	['Christian', 'Chinese', 'Italian']	None	None	NORP	{'NORP'}	
What is the goal of the Kanye West Foundation?	battle dropout and illiteracy rates, while partnering with community organizations to provide underprivileged youth access to music education	['an original date of April 14, 2009', 'early in the year', 'the first quarter of 2015']	None	None	DATE	{'DATE'}	
What was founded by Kanye West and his mother?	Kanye West Foundation	['Christian', 'Chinese', 'Italian']	None	None	NORP	{'NORP'}	
In What year did the Kanye West Foundation Partner with Strong American Schools? 	2007	['2004', '2008', '2006']	None	None	DATE	{'DATE'}	
Where was the "Kanye West Foundation" founded?	Chicago	['Atlanta', 'Arizona', 'West "absorb[ed']	None	None	GPE	{'GPE'}	
What other mission besides dropout and illiteracy rates did the Kanye West Foundation seek to improve?	music education	[]	None	None	None	set()	
What campaign did the Kanye West Foundation partner with in 2007?	"Ed in '08"	[]	None	None	None	set()	
In what month was the inaugural concert held for the "Ed in '08" campaign?	August	[]	None	None	None	set()	
What was the Kanye West Foundation renamed to in 2008?	The Dr. Donda West Foundation	[]	None	None	None	set()	
What year did the foundation end its run?	2011	['2010', '2012', '2013']	None	None	DATE	{'DATE'}	
In what year did Kanye West's mother pass away? 	2008	['Today', 'Friday', '2004']	None	None	DATE	{'DATE'}	
Kanye's foundation was changed to what name following his mother's death? 	The Dr. Donda West Foundation	[]	None	None	None	set()	
What year did the foundation stop operating? 	2008	['Today', 'Friday', '2004']	None	None	DATE	{'DATE'}	
What are some charitable efforts Kanye west has participated in?	100 Black Men of America, a Live Earth concert benefit, World Water Day rally	[]	None	None	None	set()	
During what show did Kanye take an opportunity to criticize the efforts of a U.S. President?	A Concert for Hurricane Relief	['Single Ladies (Put a Ring on It', 'Best Female Video for "', 'Greatest Albums of All Time']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Which U.S. President did Kanye criticize after the events of Hurricane Katrina? 	George W. Bush	['Chance the Rapper', 'George Bush', 'George Michael']	None	None	PERSON	{'PERSON'}	
Which President did Kanye West accuse of "Not caring for black people"?	George W. Bush	['Chance the Rapper', 'George Bush', 'George Michael']	None	None	PERSON	{'PERSON'}	
On what day did the Kanye's famous George W. Bush criticism take place?	September 2, 2005	['September 9, 2007', 'September 6, 2013', 'the previous year']	None	None	DATE	{'DATE'}	
What happened after Kanye made his controversial statement?	Rick Kaplan cut off the microphone and then cut away to Chris Tucker	['an original date of April 14, 2009', 'the first quarter of 2015', 'the same week']	None	None	DATE	{'DATE'}	
Who did Kanye West say doesn't care about black people?	George Bush	['George W. Bush', 'Happy Lewis', 'John Legend']	None	None	PERSON	{'PERSON'}	
How did George W. Bush describe Kanye's controversial statement?	"one of the most disgusting moments" of his presidency	['Chinese', 'Christian', 'Hungarian']	None	None	NORP	{'NORP'}	
To which reporter did Kanye West express regret for his remark about President Bush?	Matt Lauer	['Chuck D of', 'Damon Dash', 'Soulja Boy']	None	None	PERSON	{'PERSON'}	
Kanye was criticized by human rights groups for performing in what country?	Kazakhstan	['West "absorb[ed', 'Saint West', 'Nazarbayev']	None	None	GPE	{'GPE'}	
How much was Kanye paid to perform in Kazakhstan?	$3 million	[]	None	None	None	set()	
How is Kazakhstan's human rights record compared to the rest of the world?	one of the poorest	[]	None	None	None	set()	
What country's President paid Kanye West to perform at his grandson's wedding?	Kazakhstan	['West "absorb[ed', 'Saint West', 'Boy George']	None	None	GPE	{'GPE'}	
Kanye, Shakira, and Rage Against the Machine refused to perform in what state due to a new law against illegal aliens?	Arizona	['new singles', 'Chicago', 'Atlanta']	None	None	GPE	{'GPE'}	
For what reason did Sting and other artists cancel their scheduled performances in Kazakhstan? 	human rights concerns	['the Album of the Year', 'the first quarter of 2015', 'the early 2000s']	None	None	DATE	{'DATE'}	
What TV show lampooned one of Kanye's BBC Radio 1 interviews?	Jimmy Kimmel Live!	[]	None	None	None	set()	
What did Kanye demand from Jimmy Kimmel in regards to the sketch?	an apology	[]	None	None	None	set()	
What person was Kanye's rant on Twitter directed at?	Jimmy Kimmel	['berimbau', 'sex/', "Foxy Brown's"]	None	None	PERSON	{'PERSON'}	
The skit on JImmy Kimmel Live! was a depiction of Kanye West and what reporter?	Zane Lowe	['LL Cool J', 'Shayla G.', 'Jan Adams']	None	None	PERSON	{'PERSON'}	
On what radio station did Kanye West deem himself "the biggest rockstar on the planet"?	BBC Radio 1	['World Party', 'telethon', 'Omega']	None	None	ORG	{'ORG'}	
What president did Kanye comment on as having trouble pushing policies while in office?	Obama	['sex/', 'berimbau', 'Spears']	None	None	PERSON	{'PERSON'}	
What type of people did Kanye state had more power than Black people?	Jewish people	['the age of 10', 'the noughties', 'the mid-1990s']	None	None	DATE	{'DATE'}	
On what day did Kanye do an interview about President Obama pushing policies in Washington?	November 26, 2013	['November 20, 2007', 'December 21, 2013', 'November 14, 2008']	None	None	DATE	{'DATE'}	
On what day did Kanye take back his original comment about Jews?	December 21, 2013	['December 31, 2014', 'December 17, 2010', 'November 26, 2013']	None	None	DATE	{'DATE'}	
What celebrity knee-deep in controversy did Kanye endorse in a 2016 tweet?	Bill Cosby	[]	None	None	None	set()	
What actor was Kanye defending on Twitter in February 2016?	Bill Cosby	[]	None	None	None	set()	
To who did Kanye lose the Best New Artist award in 2004?	Gretchen Wilson	['Chance the Rapper', 'berimbau', 'sex/']	None	None	PERSON	{'PERSON'}	
The video for what song failed to win an award for again in 2006, leading to an onstage outburst by Kanye?	Touch the Sky	['Keep the Receipt', 'The Blueprint', 'All of the Lights']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What artist did Kanye West lose "Best New Artist" to at the 2004 AMAs?	Gretchen Wilson	['berimbau', 'Chance the Rapper', 'sex/']	None	None	PERSON	{'PERSON'}	
Which Kanye West video failed to win Best Video at the MTV Europe Music Awards?	Touch the Sky	['Keep the Receipt', 'The Blueprint', 'All of the Lights']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
On what day did Kanye apologize for his ranting at the MTV Europe Awards?	November 7, 2006	['November 2, 2006', 'its first week', 'November 8, 2010']	None	None	DATE	{'DATE'}	
What show did Kanye perform a spoof about the incident at the MTV Europe Awards?	Saturday Night Live	[]	None	None	None	set()	
What did Kanye believe was a contributing factor in him not opening for the 2007 MTV VMAs?	race	[]	None	None	None	set()	
With what song did Kanye aspire to open the VMAs with?	Stronger	[]	None	None	None	set()	
What factor did Kanye West accuse of being the reason for his being excluded for the opening of the 2007 VMAs?	his race	[]	None	None	None	set()	
What song was Kanye's dream to perform on the VMAs?	"Stronger"	[]	None	None	None	set()	
What artist's award reception did Kanye interrupt onstage at the 2009 MTV VMAs?	Taylor Swift	["Foxy Brown's", 'Ed McPherson', "Donda West's"]	None	None	PERSON	{'PERSON'}	
Which U.S. President criticized Kanye for his VMA outburst?	Obama	['Jay-Z', 'Jay Z', 'Adams']	None	None	PERSON	{'PERSON'}	
Which President called Kanye West a jackass for his behavior at the 2009 VMAs?	President Barack Obama	[]	None	None	None	set()	
To which artist did Kanye profusely apologize to?	Taylor Swift	['Robert "Evel', "Foxy Brown's", 'Ed McPherson']	None	None	PERSON	{'PERSON'}	
What song did Kanye end up writing that referenced his outburst against Taylor Swift?	Famous	['Facts', 'Grammy', 'I Am a God']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
When did Kanye West post to Twitter apoloizing to Taylor Swift?	September 2010	['September 2013', 'September 2014', 'September 2015']	None	None	DATE	{'DATE'}	
When did Kanye take back his apology to Taylor Swift, saying that he was being "selfless"?	November 8, 2010	['November 2, 2006', 'November 7, 2006', 'February 8, 2015']	None	None	DATE	{'DATE'}	
What album by Kanye was released in 2016?	The Life of Pablo	['Hot Shot Debut', 'All of the Lights', 'The Good, the Bad']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Which artist's award reception did Kanye interrupt at the 57th Grammy Awards?	Beck	['sex/', 'berimbau', 'Chance the Rapper']	None	None	PERSON	{'PERSON'}	
To who did Kanye state that Beck should hand his award over to?	Beyoncé	['Pusha T', 'Rihanna', 'Raekwon']	None	None	ORG	{'ORG'}	
What artist's acceptance speech did Kanye interrupt by walking on stage at the 57th Grammys?	Beck	['sex/', 'berimbau', 'Chance the Rapper']	None	None	PERSON	{'PERSON'}	
What day did Kanye apologize to Beck on Twitter?	February 26, 2015	['February 28, 2015', 'early in the year', 'February 12, 2015']	None	None	DATE	{'DATE'}	
What award did Kanye capture at the 2015 MTV VMAs?	Michael Jackson Video Vanguard Award	['Chinese', 'Christian', 'Hungarian']	None	None	NORP	{'NORP'}	
When does Kanye intend to run for president?	2020	['Today', 'Friday', '2010']	None	None	DATE	{'DATE'}	
What award was presented to Kanye West on August 30, 2015?	Michael Jackson Video Vanguard Award	['Christian', 'Chinese', 'Hungarian']	None	None	NORP	{'NORP'}	
For what event was the largest amount of signatures collected in an attempt to keep Kanye from performing at it?	Glastonbury Festival 2015	[]	None	None	None	set()	
What was another event that garnered a large amount of protest for Kanye's removal of headliner status?	2015 Pan American Games	['American Academy of Art', 'The Wall Street Journal', 'The Hollywood Reporter']	None	None	ORG	{'ORG'}	
What website have music fans been using to try to block Kanye West's performance at different events?	Change.org	['DJ No I.D.', 'Pazz & Jop', 'Elleuk.com']	None	None	ORG	{'ORG'}	
What festival was the largest failed petition to keep Kanye from performing?	Glastonbury Festival	[]	None	None	None	set()	
How many signatures were gathered for Kanye's removal from the 2015 Pan American Games?	50,000	[]	None	None	None	set()	
Kanye's first engagement was to which well-known designer?	Alexis Phifer	['Chance the Rapper', 'Stevie Wonder', 'DW Kanye West']	None	None	PERSON	{'PERSON'}	
What model did Kanye begin to date in 2008?	Amber Rose	['Chance the Rapper', 'Damon Dash', 'Kanye West']	None	None	PERSON	{'PERSON'}	
Who has Kanye finally settled with an married in 2014?	Kim Kardashian	['Roc La Familia', 'Paul McCartney', 'George W. Bush']	None	None	PERSON	{'PERSON'}	
How many children does Kanye have with Kim?	2	[]	None	None	None	set()	
What year did Kanye West begin his relationship with Alexis Phifer?	2002	['2004', '2012', '2008']	None	None	DATE	{'DATE'}	
